Number	Length	Length_Real	Stemming	Stemming_Real	Angle	Angle_Real	Azimuth	Azimuth_Real	Subdrilling	Subdrilling_Real	Total_Charge	Total_Charge_Real	Charge_Bulk	Charge_Bulk_Real	Charge_Cartridge	Charge_Cartridge_Real	Charge_Description	eliminated	waterPresence	waterColumn	waterColumn_Real	changed	userName	userLogin	userId	dateUpdate	problemList	redrilled	StemmingProblem	ChargeProblem	Label1	Label2	Burden	Spacing	json	Diameter	Diameter_Real	UTM_X	UTM_X_Real	UTM_Y	UTM_Y_Real	Booster	Booster_Real	PowderFactor	PowderFactor_Real	Comment	FinalLength	TruckNumber	NumberOfDetonators	NumberOfPrimes	Temperature	Density	final_length	truck_number	number_detonators	number_primes	temperature	density
23	11.513	11.1	2.3	2.3	0	0	0	0	0.6	0.6	163.097	163.097	163.097	163.097	0	0	[{"name":"Emuls\u00e3o 1.15","qty":163.097,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:32:57		0	0	0			0	0		0.14	0.14	748572.494	748572.494	8930252.447	8930252.447	1	0	0	0		0	0	0	0	0	0						0
24	11.788	10.5	2.3	2.3	0	0	0	0	0.6	0.6	167.965	167.965	167.965	167.965	0	0	[{"name":"Emuls\u00e3o 1.15","qty":167.965,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:35:37		0	0	0			0	0		0.14	0.14	748572.512	748572.512	8930259.185	8930259.185	1	0	0	0		0	0	0	0	0	0						0
25	12.063	11.4	2.3	2.3	0	0	0	0	0.6	0.6	172.833	172.833	172.833	172.833	0	0	[{"name":"Emuls\u00e3o 1.15","qty":172.833,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:54:43		0	0	0			0	0		0.14	0.14	748572.5	748572.5	8930265.921	8930265.921	1	0	0	0		0	0	0	0	0	0						0
26	11.989	11.2	2.3	2.3	0	0	0	0	0.6	0.6	171.523	171.523	171.523	171.523	0	0	[{"name":"Emuls\u00e3o 1.15","qty":171.523,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:37:28		0	0	0			0	0		0.14	0.14	748572.51	748572.51	8930272.646	8930272.646	1	0	0	0		0	0	0	0	0	0						0
27	11.767	11.6	2.3	2.3	0	0	0	0	0.6	0.6	167.593	167.593	167.593	167.593	0	0	[{"name":"Emuls\u00e3o 1.15","qty":167.593,"mytype":"bulk"}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:45:41		0	0	0			0	0		0.14	0.14	748572.499	748572.499	8930279.417	8930279.417	1	0	0	0		0	0	0	0	0	0						0
40	11.869	11.5	2.3	2.3	0	0	0	0	0.6	0.6	169.399	169.399	169.399	169.399	0	0	[{"name":"Emuls\u00e3o 1.15","qty":169.399,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:46:13		0	0	0			0	0		0.14	0.14	748570.256	748570.256	8930282.755	8930282.755	1	0	0	0		0	0	0	0	0	0						0
41	12.017	11.7	2.3	2.3	0	0	0	0	0.6	0.6	172.019	172.019	172.019	172.019	0	0	[{"name":"Emuls\u00e3o 1.15","qty":172.019,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:38:15		0	0	0			0	0		0.14	0.14	748570.268	748570.268	8930275.999	8930275.999	1	0	0	0		0	0	0	0	0	0						0
42	12.155	11.5	2.3	2.3	0	0	0	0	0.6	0.6	174.462	174.462	174.462	174.462	0	0	[{"name":"Emuls\u00e3o 1.15","qty":174.462,"mytype":"bulk"}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:59:32		0	0	0			0	0		0.14	0.14	748570.228	748570.228	8930269.277	8930269.277	1	0	0	0		0	0	0	0	0	0						0
43	12.094	11.5	2.3	2.3	0	0	0	0	0.6	0.6	173.382	173.382	173.382	173.382	0	0	[{"name":"Emuls\u00e3o 1.15","qty":173.382,"mytype":"bulk"}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:55:02		0	0	0			0	0		0.14	0.14	748570.27	748570.27	8930262.541	8930262.541	1	0	0	0		0	0	0	0	0	0						0
44	11.802	11	2.3	2.3	0	0	0	0	0.6	0.6	168.213	168.213	168.213	168.213	0	0	[{"name":"Emuls\u00e3o 1.15","qty":168.213,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:35:24		0	0	0			0	0		0.14	0.14	748570.249	748570.249	8930255.837	8930255.837	1	0	0	0		0	0	0	0	0	0						0
45	11.403	0	2.3	0	0	0	0	0	0.6	0	161.149	0	161.149	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748570.269	0	8930250.724	0	1	0	0	0		0	0	0	0	0	0						0
46	11.575	0	2.3	0	0	0	0	0	0.6	0	164.194	0	164.194	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748567.995	0	8930252.445	0	1	0	0	0		0	0	0	0	0	0						0
47	12.012	10.9	2.3	2.3	0	0	0	0	0.6	0.6	171.93	171.93	171.93	171.93	0	0	[{"name":"Emuls\u00e3o 1.15","qty":171.93,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:55:20		0	0	0			0	0		0.14	0.14	748568.018	748568.018	8930259.204	8930259.204	1	0	0	0		0	0	0	0	0	0						0
48	12.237	11.2	2.3	2.3	0	0	0	0	0.6	0.6	175.913	175.913	175.913	175.913	0	0	[{"name":"Emuls\u00e3o 1.15","qty":175.913,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:59:01		0	0	0			0	0		0.14	0.14	748568.003	748568.003	8930265.899	8930265.899	1	0	0	0		0	0	0	0	0	0						0
49	12.105	11.7	2.3	2.3	0	0	0	0	0.6	0.6	173.577	173.577	173.577	173.577	0	0	[{"name":"Emuls\u00e3o 1.15","qty":173.577,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:00:14		0	0	0			0	0		0.14	0.14	748567.995	748567.995	8930272.633	8930272.633	1	0	0	0		0	0	0	0	0	0						0
50	11.996	11.3	2.3	2.3	0	0	0	0	0.6	0.6	171.647	171.647	171.647	171.647	0	0	[{"name":"Emuls\u00e3o 1.15","qty":171.647,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:38:26		0	0	0			0	0		0.14	0.14	748567.978	748567.978	8930279.41	8930279.41	1	0	0	0		0	0	0	0	0	0						0
51	11.921	11.4	2.3	2.3	0	0	0	0	0.6	0.6	170.319	170.319	170.319	170.319	0	0	[{"name":"Emuls\u00e3o 1.15","qty":170.319,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:46:35		0	0	0			0	0		0.14	0.14	748568.009	748568.009	8930286.12	8930286.12	1	0	0	0		0	0	0	0	0	0						0
52	11.919	0	2.3	0	0	0	0	0	0.6	0	170.284	0	170.284	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748567.993	0	8930292.853	0	1	0	0	0		0	0	0	0	0	0						0
61	12.357	0	2.3	0	0	0	0	0	0.6	0	178.038	0	178.038	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748565.762	0	8930296.233	0	1	0	0	0		0	0	0	0	0	0						0
62	11.979	11.7	2.3	2.3	0	0	0	0	0.6	0.6	171.346	150	171.346	150	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":150,"weight":1}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:42:22		0	0	0			0	0		0.14	0.14	748565.768	748565.768	8930289.481	8930289.481	1	0	0	0		0	0	0	0	0	0						0
63	11.945	10.6	2.3	2.3	0	0	0	0	0.6	0.6	170.744	170.744	170.744	170.744	0	0	[{"name":"Emuls\u00e3o 1.15","qty":170.744,"mytype":"bulk"}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:38:43		0	0	0			0	0		0.14	0.14	748565.756	748565.756	8930282.751	8930282.751	1	0	0	0		0	0	0	0	0	0						0
64	12.065	11.6	2.3	2.3	0	0	0	0	0.6	0.6	172.869	172.869	172.869	172.869	0	0	[{"name":"Emuls\u00e3o 1.15","qty":172.869,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:32:26		0	0	0			0	0		0.14	0.14	748565.787	748565.787	8930276.026	8930276.026	1	0	0	0		0	0	0	0	0	0						0
65	12.28	11	2.3	2.3	0	0	0	0	0.6	0.6	176.675	176.675	176.675	176.675	0	0	[{"name":"Emuls\u00e3o 1.15","qty":176.675,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:00:37		0	0	0			0	0		0.14	0.14	748565.779	748565.779	8930269.271	8930269.271	1	0	0	0		0	0	0	0	0	0						0
66	12.194	11.7	2.3	2.3	0	0	0	0	0.6	0.6	175.152	175.152	175.152	175.152	0	0	[{"name":"Emuls\u00e3o 1.15","qty":175.152,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:58:46		0	0	0			0	0		0.14	0.14	748565.753	748565.753	8930262.536	8930262.536	1	0	0	0		0	0	0	0	0	0						0
67	11.873	10	2.3	2.3	0	0	0	0	0.6	0.6	169.47	169.47	169.47	169.47	0	0	[{"name":"Emuls\u00e3o 1.15","qty":169.47,"mytype":"bulk"}]	0	1	0	2	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:55:40		0	0	0			0	0		0.14	0.14	748565.786	748565.786	8930255.791	8930255.791	1	0	0	0		0	0	0	0	0	0						0
68	11.385	11.1	2.3	2.3	0	0	0	0	0.6	0.6	160.831	160.831	160.831	160.831	0	0	[{"name":"Emuls\u00e3o 1.15","qty":160.831,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:35:03		0	0	0			0	0		0.14	0.14	748565.769	748565.769	8930250.724	8930250.724	1	0	0	0		0	0	0	0	0	0						0
69	11.833	11.3	2.3	2.3	0	0	0	0	0.6	0.6	168.762	168.762	168.762	168.762	0	0	[{"name":"Emuls\u00e3o 1.15","qty":168.762,"mytype":"bulk"}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:55:58		0	0	0			0	0		0.14	0.14	748563.477	748563.477	8930252.414	8930252.414	1	0	0	0		0	0	0	0	0	0						0
70	11.978	11.2	2.3	2.3	0	0	0	0	0.6	0.6	171.328	171.328	171.328	171.328	0	0	[{"name":"Emuls\u00e3o 1.15","qty":171.328,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:58:29		0	0	0			0	0		0.14	0.14	748563.527	748563.527	8930259.185	8930259.185	1	0	0	0		0	0	0	0	0	0						0
71	12.254	10.7	2.3	2.3	0	0	0	0	0.6	0.6	176.214	176.214	176.214	176.214	0	0	[{"name":"Emuls\u00e3o 1.15","qty":176.214,"mytype":"bulk"}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:00:56		0	0	0			0	0		0.14	0.14	748563.494	748563.494	8930265.9	8930265.9	1	0	0	0		0	0	0	0	0	0						0
72	12.166	11	2.3	2.3	0	0	0	0	0.6	0.6	174.657	174.657	174.657	174.657	0	0	[{"name":"Emuls\u00e3o 1.15","qty":174.657,"mytype":"bulk"}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:32:47		0	0	0			0	0		0.14	0.14	748563.526	748563.526	8930272.649	8930272.649	1	0	0	0		0	0	0	0	0	0						0
73	11.981	11.4	2.3	2.3	0	0	0	0	0.6	0.6	171.382	171.382	171.382	171.382	0	0	[{"name":"Emuls\u00e3o 1.15","qty":171.382,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:34:21		0	0	0			0	0		0.14	0.14	748563.522	748563.522	8930279.38	8930279.38	1	0	0	0		0	0	0	0	0	0						0
74	11.921	9.8	2.3	2.3	0	0	0	0	0.6	0.6	170.319	150.2	170.319	150.2	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":150.2,"weight":1}]	0	1	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:40:34		0	0	0			0	0		0.14	0.14	748563.528	748563.528	8930286.141	8930286.141	1	0	0	0		0	0	0	0	0	0						0
75	12.216	12	2.3	2.3	0	0	0	0	0.6	0.6	175.542	171.4	175.542	171.4	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":171.4,"weight":1}]	0	1	0	5.5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:38:27		0	0	0			0	0		0.14	0.14	748563.522	748563.522	8930292.903	8930292.903	1	0	0	0		0	0	0	0	0	0						0
76	12.405	12.405	2.3	2.3	0	0	0	0	0.6	0.6	178.888	178.888	178.888	178.888	0	0	[{"name":"Emuls\u00e3o 1.15","qty":178.888,"mytype":"bulk"}]	1	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 17:26:06		0	0	0			0	0		0.14	0.14	748563.52	748563.52	8930299.615	8930299.615	1	0	0	0		0	0	0	0	0	0						0
85	12.477	12.477	2.3	2.3	0	0	0	0	0.6	0.6	180.162	180.162	180.162	180.162	0	0	[{"name":"Emuls\u00e3o 1.15","qty":180.162,"mytype":"bulk"}]	1	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 17:25:56		0	0	0			0	0		0.14	0.14	748561.281	748561.281	8930302.999	8930302.999	1	0	0	0		0	0	0	0	0	0						0
86	12.441	12.441	2.3	2.3	0	0	0	0	0.6	0.6	179.525	179.525	179.525	179.525	0	0	[{"name":"Emuls\u00e3o 1.15","qty":179.525,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 17:22:20	[]	0	0	0			0	0		0.14	0.14	748561.256	748561.256	8930296.248	8930296.248	1	0	0	0		0	0	0	0	0	0						0
87	12.146	10.5	2.3	2.3	0	0	0	0	0.6	0.6	174.303	159.5	174.303	159.5	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":159.5,"weight":1}]	0	1	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:33:45		0	0	0			0	0		0.14	0.14	748561.274	748561.274	8930289.486	8930289.486	1	0	0	0		0	0	0	0	0	0						0
88	11.925	11	2.3	2.3	0	0	0	0	0.6	0.6	170.39	167.1	170.39	167.1	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":167.1,"weight":1}]	0	1	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:29:06		0	0	0			0	0		0.14	0.14	748561.267	748561.267	8930282.793	8930282.793	1	0	0	0		0	0	0	0	0	0						0
89	12.012	0	2.3	0	0	0	0	0	0.6	0	171.93	0	171.93	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748561.3	0	8930276.034	0	1	0	0	0		0	0	0	0	0	0						0
90	12.163	10.7	2.3	2.3	0	0	0	0	0.6	0.6	174.603	174.603	174.603	174.603	0	0	[{"name":"Emuls\u00e3o 1.15","qty":174.603,"mytype":"bulk"}]	0	1	0	6	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:31:32		0	0	0			0	0		0.14	0.14	748561.275	748561.275	8930269.26	8930269.26	1	0	0	0		0	0	0	0	0	0						0
91	11.921	11.6	2.3	2.3	0	0	0	0	0.6	0.6	170.319	170.319	170.319	170.319	0	0	[{"name":"Emuls\u00e3o 1.15","qty":170.319,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:01:14		0	0	0			0	0		0.14	0.14	748561.261	748561.261	8930262.588	8930262.588	1	0	0	0		0	0	0	0	0	0						0
92	11.808	10	2.3	2.3	0	0	0	0	0.6	0.6	168.319	168.319	168.319	168.319	0	0	[{"name":"Emuls\u00e3o 1.15","qty":168.319,"mytype":"bulk"}]	0	1	0	2	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:58:14		0	0	0			0	0		0.14	0.14	748561.258	748561.258	8930255.806	8930255.806	1	0	0	0		0	0	0	0	0	0						0
94	12.057	12	2.3	2.3	0	0	0	0	0.6	0.6	172.727	172.727	172.727	172.727	0	0	[{"name":"Emuls\u00e3o 1.15","qty":172.727,"mytype":"bulk"}]	0	1	0	6	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:57:55		0	0	0			0	0		0.14	0.14	748559.954	748559.954	8930253.746	8930253.746	1	0	0	0		0	0	0	0	0	0						0
95	11.822	11.4	2.3	2.3	0	0	0	0	0.6	0.6	168.567	168.567	168.567	168.567	0	0	[{"name":"Emuls\u00e3o 1.15","qty":168.567,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:01:36		0	0	0			0	0		0.14	0.14	748559.908	748559.908	8930259.173	8930259.173	1	0	0	0		0	0	0	0	0	0						0
96	11.982	11.2	2.3	2.3	0	0	0	0	0.6	0.6	171.399	171.399	171.399	171.399	0	0	[{"name":"Emuls\u00e3o 1.15","qty":171.399,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:31:11		0	0	0			0	0		0.14	0.14	748559.864	748559.864	8930265.953	8930265.953	1	0	0	0		0	0	0	0	0	0						0
97	12.138	11.2	2.3	2.3	0	0	0	0	0.6	0.6	174.161	174.161	174.161	174.161	0	0	[{"name":"Emuls\u00e3o 1.15","qty":174.161,"mytype":"bulk"}]	0	1	0	2	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:33:53		0	0	0			0	0		0.14	0.14	748559.888	748559.888	8930272.656	8930272.656	1	0	0	0		0	0	0	0	0	0						0
98	11.952	11	2.3	2.3	0	0	0	0	0.6	0.6	170.868	170.868	170.868	170.868	0	0	[{"name":"Emuls\u00e3o 1.15","qty":170.868,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:34:52		0	0	0			0	0		0.14	0.14	748559.885	748559.885	8930279.39	8930279.39	1	0	0	0		0	0	0	0	0	0						0
99	12.064	9.8	2.3	2.3	0	0	0	0	0.6	0.6	172.851	147.4	172.851	147.4	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":147.4,"weight":1}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:31:29		0	0	0			0	0		0.14	0.14	748559.9	748559.9	8930286.152	8930286.152	1	0	0	0		0	0	0	0	0	0						0
100	12.364	10.9	2.3	2.3	0	0	0	0	0.6	0.6	178.162	175	178.162	175	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":175,"weight":1}]	0	1	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:36:10		0	0	0			0	0		0.14	0.14	748559.91	748559.91	8930292.911	8930292.911	1	0	0	0		0	0	0	0	0	0						0
101	12.448	10.1	2.3	2.3	0	0	0	0	0.6	0.6	179.649	179.649	179.649	179.649	0	0	[{"name":"Emuls\u00e3o 1.15","qty":179.649,"mytype":"bulk"}]	1	1	0	8.5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 17:26:12		0	0	0			0	0		0.14	0.14	748559.906	748559.906	8930299.615	8930299.615	1	0	0	0		0	0	0	0	0	0						0
102	12.532	12.532	2.3	2.3	0	0	0	0	0.6	0.6	181.136	181.136	181.136	181.136	0	0	[{"name":"Emuls\u00e3o 1.15","qty":181.136,"mytype":"bulk"}]	1	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 17:25:55		0	0	0			0	0		0.14	0.14	748559.882	748559.882	8930306.346	8930306.346	1	0	0	0		0	0	0	0	0	0						0
113	12.628	12.628	2.3	2.3	0	0	0	0	0.6	0.6	182.835	182.835	182.835	182.835	0	0	[{"name":"Emuls\u00e3o 1.15","qty":182.835,"mytype":"bulk"}]	1	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 17:25:32		0	0	0			0	0		0.14	0.14	748557.799	748557.799	8930308.037	8930308.037	1	0	0	0		0	0	0	0	0	0						0
114	12.472	10.5	2.3	2.3	0	0	0	0	0.6	0.6	180.074	180.074	180.074	180.074	0	0	[{"name":"Emuls\u00e3o 1.15","qty":180.074,"mytype":"bulk"}]	1	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 17:25:33		0	0	0			0	0		0.14	0.14	748557.795	748557.795	8930304.7	8930304.7	1	0	0	0		0	0	0	0	0	0						0
115	12.456	12.456	2.3	2.3	0	0	0	0	0.6	0.6	179.79	179.79	179.79	179.79	0	0	[{"name":"Emuls\u00e3o 1.15","qty":179.79,"mytype":"bulk"}]	1	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 12:41:47	[{"id":"31","text":"Furo colapsado","class":"deleted"}]	0	0	0			0	0		0.14	0.14	748557.78	748557.78	8930301.287	8930301.287	1	0	0	0		0	0	0	0	0	0						0
